ticketID,passengerID,flightNumber,flightType,seatNumber
81959503,29558399,79924,first class,3D
18271147,95783850,68024,economy,33A
88638835,62322933,35686,economy,12E
14060256,85727629,54642,first class,10D
03340982,80946173,26336,economy,6F
25723747,53202883,84924,first class,1F
37299905,74927835,24249,first class,9D
53864861,95909894,98633,bussines,24D
35253033,57133934,38313,first class,2C
33334151,19327471,93613,economy,19F
99891183,83004383,89677,first class,21B
85236304,26068345,95121,first class,4F
48806930,77863379,94489,economy,12E
95412005,62372257,96830,bussines,5C
36481911,05093749,76634,bussines,14C
05900805,28668997,12789,first class,20E
42265797,79670339,20311,economy,30F
52217636,73573397,54691,bussines,15F
62335993,23093771,24591,economy,28B
51492124,34980124,19673,bussines,18F
94128101,47325888,60282,bussines,8E
09241553,47640675,83667,bussines,31D
59956199,05465575,60958,first class,8C
73488482,62441518,85205,bussines,5F
82306226,45867442,79850,first class,14E
59542086,88779396,14852,bussines,1D
13256887,68507793,98082,first class,7F
34415710,39436446,13949,economy,12C
98676703,22419890,43485,bussines,15E
29179167,75338372,85965,economy,8E
58360939,46318788,77100,first class,3F
40933205,53652072,51285,bussines,9A
42306443,07348712,13400,bussines,7C
37778260,57565289,20153,economy,15D
37542778,01510620,87842,bussines,8E
36077629,79910292,24918,bussines,7F
27178259,78920442,42209,first class,16C
50060564,00732663,89045,bussines,21A
84971631,74890438,30154,economy,7D
59117548,85825781,12829,economy,5C
98402270,44956039,91701,economy,13B
88348049,38850565,46302,first class,15E
61957122,96674003,36227,economy,14C
75668749,27468505,88644,first class,2E
45984537,08957682,15400,economy,23B
30325792,71453198,39086,economy,13C
27467159,80119199,11861,economy,2D
79110403,55463207,71445,first class,26E
74563146,74096456,86626,economy,32A
73236982,86566067,26037,bussines,20C
72803330,13299339,64778,first class,23B
79060241,45232637,60730,economy,17E
76787500,35644143,18274,first class,13C
69141306,09945504,70711,first class,33A
31785883,80146086,55107,economy,14E
00056101,87395084,64012,bussines,26F
50543808,28983705,64738,bussines,13C
73438147,85000702,57882,first class,8B
65562579,90307612,65223,bussines,32D
96631746,81996416,26791,bussines,5A
00426462,20177319,54533,bussines,1C
27521082,19250192,66401,economy,9F
58822703,65955608,33295,bussines,32A
87317135,36150028,53893,first class,8A
33875402,15841430,42927,bussines,4D
00104654,41170593,44576,bussines,4D
77017461,31317819,79361,economy,7F
56210066,83440841,79626,bussines,15B
72470164,05595997,12725,economy,18C
26837000,24932525,46041,first class,6F
78317306,25508707,78624,economy,31C
00666243,29534842,45980,bussines,28B
80367855,53799268,57088,bussines,9D
11348525,78374634,65842,economy,29E
11602345,43582995,52345,bussines,19E
85117258,46395379,47988,economy,16E
27609443,23734072,26693,bussines,3B
24247347,71323055,44541,first class,14A
13789795,66236380,25543,bussines,24E
62431224,64127710,78065,bussines,14C
96410909,82980137,93949,first class,13D
44445945,49373927,75225,bussines,31F
84262590,40523621,62804,bussines,9F
77491801,57088629,63384,first class,14C
22237983,57899952,82040,first class,8E
49187976,09752125,74016,economy,30F
73987034,29196633,96285,first class,4F
13158461,59371505,10212,economy,2C
06016984,15003439,65937,bussines,6E
06616773,25244469,17536,bussines,10F
30562862,07780556,23841,bussines,9E
10446018,44952433,37919,economy,11E
28682407,28044992,44536,bussines,31C
48380175,77308848,43747,bussines,23E
95995121,04270045,92812,economy,4E
92906033,98785450,34633,bussines,21C
33231283,56911351,59291,first class,10C
52526458,20047054,53652,first class,17A
03454531,22870232,52160,economy,23F
80627543,17833331,62721,economy,28D
00789029,76022239,20069,economy,23F
58985906,74025332,64455,bussines,21C
48879378,05977495,76601,first class,14E
91269474,61163918,34893,economy,12C
09609979,93168701,17032,economy,25B
34953020,15059915,93449,economy,12D
87402222,15765586,64429,economy,33A
20136361,74291662,62055,economy,16C
41225470,37885583,83432,bussines,12F
37045067,57329355,30247,economy,32C
15270509,21875819,39157,bussines,6A
07099882,67331212,40870,economy,17A
03270813,08058341,64908,economy,14C
11494447,26734184,28807,first class,1B
10256674,38322081,84555,first class,6C
53371888,27401199,52773,first class,14D
65761679,48162347,69348,bussines,7C
83034446,16276976,49070,first class,16E
35277682,27625259,32422,first class,18E
75637955,43356630,51369,bussines,14B
57122664,46108842,97160,economy,30D
71686620,53834892,24104,economy,9B
38429066,48637976,23814,bussines,27C
55711556,38441853,79114,bussines,2F
25237426,93580428,25838,economy,13A
33068798,88274912,25993,first class,18F
23897953,88071628,62675,first class,25D
38950738,58890059,94636,bussines,7C
59126361,93775636,78487,economy,15F
36514489,27235732,38656,economy,3C
68765753,31618372,76818,bussines,29D
60544691,65833762,67778,economy,33E
89856645,64334863,87339,bussines,14C
09951520,97564728,11175,bussines,19E
78045920,56876919,27050,economy,10B
18494414,87218550,45193,bussines,30C
64466983,65835717,34287,first class,15F
72353609,42209673,84615,economy,10B
26077578,27284861,39056,first class,27A
75871573,38926916,84791,bussines,17C
75743658,26838741,39642,economy,8D
11263165,59664889,96718,bussines,31A
00256944,43183918,32460,bussines,29C
37299627,52526513,37127,first class,29D
52866787,45620963,91270,first class,14E
97152406,58492942,62297,economy,23B
70320446,91541241,30197,bussines,32C
01280797,01392068,14798,bussines,23A
88363742,03377910,82107,first class,23E
05828248,70118467,82237,bussines,19E
49427120,36499487,16878,economy,3C
33444923,95727544,25485,first class,32B
17905109,25608105,18475,bussines,22B
75028003,01393386,37769,bussines,32A
44660239,74891092,12342,bussines,10C
02750944,75465922,38198,bussines,1A
44690487,43087231,35120,bussines,4C
65176505,09755400,94347,bussines,23E
13421577,17361367,36849,economy,20E
70131843,02564841,84606,bussines,16E
45080406,32536098,16543,economy,12A
12420825,36238955,39782,economy,11D
83428999,71614612,65340,first class,25F
53394094,41571891,93091,economy,29C
16038494,38750682,80039,economy,26D
24995824,62763344,48209,bussines,22B
16141208,18939235,25780,first class,15A
19031870,18974238,37494,bussines,20C
97693372,26242284,40470,economy,25D
61936711,72972803,86626,bussines,26F
53966798,07481953,99565,economy,10A
43608875,08396966,32538,first class,25D
39143295,19257492,13096,first class,24A
09633968,14101766,90608,first class,20B
87973811,53888794,59711,first class,11D
30126407,21657853,31454,first class,31B
06403540,40324194,92689,economy,12D
49721355,46637546,84011,first class,23E
25063131,59339191,48788,economy,31E
21422810,49327429,66004,first class,11C
14677498,63172760,43206,bussines,30E
61203464,54135160,63911,first class,3C
90147905,69335745,24910,bussines,28B
76640988,85033160,42053,bussines,25D
11523821,68271113,46242,economy,31C
22825235,86166584,47802,economy,13E
41544618,92221602,34633,first class,24D
06288307,31892044,69407,first class,3F
14915908,71295371,63703,economy,14E
02740875,15008861,50993,economy,12B
28843191,25864833,91506,first class,2B
30889669,84439847,34530,first class,13B
27165870,74872950,59307,first class,26A
16287314,65529019,17536,economy,6E
98399476,82632563,72301,first class,3B
45323242,93434846,97267,first class,21F
86619509,78102540,57882,bussines,8B
59096377,45119030,23078,economy,16A
96703329,84617095,17257,first class,4D
94318859,80165668,19543,bussines,6F
99731609,10948183,80829,first class,2E
71176154,01641115,82248,first class,26B
15481716,72677904,89185,first class,27A
89794776,97847282,18039,economy,9F
82079082,81747966,45629,economy,28F
85246126,08270870,99369,bussines,5F
48453496,11327013,59395,bussines,9B
39248170,14188887,63622,economy,21A
30141852,54526827,75377,bussines,13F
85560860,89860026,77385,first class,8F
34621833,81024238,57190,economy,22D
12983769,35550327,21137,first class,26F
81578394,02528555,67821,economy,4C
08110943,04387929,97270,bussines,19F
21179040,89914988,31750,bussines,6F
60162384,23988203,75650,bussines,24F
88423612,07362591,59600,economy,7F
95251299,09519692,51302,bussines,16D
68122418,65767344,75203,first class,16D
54167363,99245744,44256,bussines,15D
60544539,67003503,65997,bussines,8F
38856224,78482313,79453,bussines,30A
12140871,26267677,51369,first class,30F
97418650,42956184,32469,economy,28D
11877995,21091976,86581,first class,8B
29681510,98945984,97498,economy,24F
09206736,48393173,32210,bussines,15B
59817999,11371415,10002,bussines,20C
69038933,50242719,23179,first class,29F
38107821,02544059,99005,first class,2B
39278089,27162312,61286,economy,12F
00405795,08807202,45170,bussines,10E
19482434,96964796,48211,economy,5A
04918778,52308088,80535,economy,29B
78855071,55150264,45482,economy,6D
04430181,36714286,14894,first class,4B
13333885,88494701,61218,first class,18A
05342845,92037180,90929,economy,11A
54476404,07381356,57752,economy,33C
26293465,24927840,40970,bussines,26F
72493882,35250817,99333,bussines,8A
43305025,26454409,56947,bussines,31F
79802294,94391634,10105,economy,4A
81593402,80840002,61470,first class,13C
79702497,19045029,91366,bussines,12B
00476899,62914694,61692,bussines,11D
25445419,90008665,18287,first class,6B
75797216,07692775,47880,first class,11E
88447004,95302220,30690,economy,4D
79066000,49728792,33106,first class,19C
93248745,77270264,30646,first class,12D
19671455,42712200,36371,economy,32E
46309851,32345417,81172,bussines,29C
26490982,27268771,26442,first class,27E
93321352,08939462,57828,bussines,25E
65923945,17013619,20179,bussines,17F
95084532,18894505,31384,economy,11A
50406057,52055035,86409,first class,2F
09725997,17822245,63138,first class,28B
60308849,87340982,13054,economy,19D
85414727,41728062,31686,first class,7D
11954528,80667900,65587,first class,13E
84477480,49263733,17282,economy,8E
56968234,13819691,62986,first class,20E
70254355,21062487,26021,economy,30E
98470947,87380068,18397,bussines,18A
91060454,97888296,78427,economy,7E
08465091,24522097,24203,first class,9F
62500065,97781267,24742,economy,3F
25188149,33183132,72063,economy,22B
02962503,19838710,52764,economy,10E
01861846,98474823,72236,economy,21E
91283795,04258779,63384,economy,24D
42556426,21012649,58708,first class,23D
83737869,32348920,75445,economy,9F
40679309,82361646,20936,bussines,11C
69412843,69788160,24537,first class,2F
82781411,63788272,26037,economy,1D
86336483,70340492,59383,economy,4B
16162367,22003047,47513,economy,8C
85399230,33384736,10815,economy,23D
58753282,60352010,86301,economy,14D
99421690,61651348,25029,first class,19A
23704573,42712933,27274,first class,28B
28010647,13660270,45266,bussines,25B
84056525,37823532,25498,bussines,25D
99033584,75625729,64708,bussines,3A
78291693,80734510,14593,bussines,27F
12719609,70480025,64333,economy,7A
12162640,82809822,82248,bussines,26A
90911103,83285242,60612,bussines,29D
57914382,44930836,85864,bussines,8E
56079135,38287639,51951,economy,23B
96437277,98629744,47286,bussines,17D
56425397,41238181,55441,bussines,7E
70797283,41409493,66607,bussines,7D
83595389,81639500,86393,first class,8C
56812474,67573078,60858,first class,23F
23076209,43103754,96442,bussines,2B
79961439,88922670,65539,bussines,1D
15266431,96317775,43747,first class,14E
62077853,91223338,83641,first class,17A
07350742,47355028,39251,economy,24B
05749208,32523781,32560,bussines,18D
80729365,28786117,67290,economy,9A
84751950,97639729,34990,bussines,32D
62109696,58703672,88009,bussines,26E
65039379,57524851,42767,first class,32E
68688594,52411315,67907,economy,20D
84596728,64766080,37724,first class,6D
65842485,84314898,26564,first class,22F
96026700,41801625,95602,bussines,4D
93357859,43655523,89062,first class,9C
17839636,35110621,47734,first class,12E
87244848,14335069,71888,economy,1A
54589861,02212302,40394,first class,2E
32531719,77092685,29477,economy,20B
44458865,27901370,38741,economy,26B
61397202,66409715,17611,bussines,6B
67676732,40974046,40763,bussines,31F
15585573,92957340,53617,bussines,24E
79201667,88125614,13268,economy,24B
81204492,22642150,80726,first class,6A
52992909,44599918,41906,economy,32A
70943229,57998740,14817,economy,2E
77989664,02394204,66411,economy,30F
15076714,81450491,36275,bussines,12A
25376647,85560213,28115,bussines,20D
41466284,28028055,47229,first class,17A
39889222,09542705,36776,bussines,16B
76382451,68325630,93587,economy,16E
16673308,32702363,97667,economy,32D
68029380,51679757,49933,bussines,32E
23460121,07101323,31454,bussines,28C
47653963,38484017,19966,bussines,29A
90759642,50074465,16578,bussines,22E
74190477,51236165,44798,bussines,27D
35004574,90325163,57642,first class,5C
99759967,25310889,85593,economy,20A
96381598,95852991,54373,bussines,27E
11630114,50030955,82022,bussines,14E
22889600,40131167,36228,economy,5C
32443876,44546409,70309,bussines,25E
28867694,77026602,91167,bussines,18A
48512107,89288004,56152,bussines,12E
16095819,89480999,84781,bussines,31F
36251903,29236349,26336,first class,27C
57709581,10051904,96880,economy,4D
45667863,31222777,77711,bussines,31E
45248259,30207743,64048,economy,27A
44089726,58042636,38671,bussines,13E
46425603,45151401,28437,first class,25E
03628597,50278757,64719,economy,13C
08484834,89610065,54306,first class,23D
54721304,66466747,55810,bussines,17B
23105308,15581258,63188,first class,30D
54639928,12747628,31996,first class,27C
45481487,37292864,35270,bussines,7A
07643464,24712799,17878,bussines,15A
29391020,16857253,42396,economy,28E
44659718,27834210,70140,bussines,4C
67654317,79859406,71243,economy,5C
11520979,80610576,65363,economy,26A
56423131,12441946,36743,economy,18F
08192700,65168751,84489,first class,22A
11739824,59326301,10533,first class,18C
53303276,56689482,38310,economy,11A
41638435,32332522,13037,first class,4C
52531360,18708961,49600,first class,28B
89402043,60382514,16543,first class,20C
16265543,37964608,18274,first class,6B
81061779,25845765,72663,first class,30C
74763881,27375378,36920,first class,24A
64332694,72507648,86053,bussines,10D
88174054,89805510,17611,first class,32C
89131746,57750122,76933,bussines,26C
32534959,69032964,86626,economy,2F
33561972,66665013,19388,first class,24D
32295823,10249172,78109,first class,4A
71092826,18034343,79679,first class,9E
64553399,46005181,55256,economy,6E
40715270,69007829,98073,bussines,3C
37201393,17161396,23618,economy,27A
64601639,81875581,92376,first class,16A
57407865,97660655,41341,bussines,9D
75476723,83112836,91764,first class,22F
57219167,94426957,79244,economy,14B
13481624,51323499,94407,bussines,31C
34031158,75846925,52706,economy,30C
86135879,71722980,55005,bussines,23F
81934107,24837511,23442,economy,32F
54738742,03903202,34191,economy,25D
06137705,75950749,54533,economy,12F
03823696,52807708,32422,economy,29C
89653386,50423388,34320,first class,12D
70090665,91263634,10105,first class,17B
15452757,53423426,89137,bussines,27B
82457594,19983222,27058,first class,18E
86352364,24664941,36255,first class,16D
73968913,59179171,63622,bussines,12F
93246782,30725463,70140,first class,23A
86670064,86432285,80427,first class,12F
31053726,29701115,26336,economy,26B
84873844,26405316,61383,bussines,18A
50802005,56352830,99693,bussines,23F
20299019,70388407,61827,economy,27F
44083004,01367566,64467,bussines,7B
42830829,37776860,80349,first class,8D
23398336,69720083,15151,bussines,18E
68378770,50003391,98483,bussines,2C
85926788,46155588,49600,bussines,32D
34654499,61085779,20910,first class,28B
83913008,69850576,79453,first class,33E
50767994,65918750,88154,economy,10D
49743525,16061208,62804,economy,3D
93772596,71263500,90832,first class,30C
42506935,85316018,69069,bussines,32A
60739197,21650485,10661,economy,15E
02615541,41091305,60657,bussines,11C
03672448,21418138,29084,bussines,15A
75498025,20056356,29081,bussines,4A
59137617,47320308,92646,bussines,15D
25961941,85420459,62862,first class,15A
05216142,14197880,23674,economy,19E
56106846,26803553,55984,economy,19A
30685611,42735641,69767,economy,11A
29127046,26414977,43143,economy,16B
97192721,22290690,88042,bussines,7C
88058202,89009499,46581,bussines,22C
93003875,96407954,27037,bussines,27F
77274718,58345881,21823,bussines,12F
91904862,30636549,54962,bussines,19D
23784195,73567457,23971,economy,31D
70418794,88454820,53405,bussines,15C
51195545,06344722,57434,economy,19B
03611403,27780145,74064,economy,18C
08430026,03825632,89159,bussines,18F
43918658,36300372,53617,bussines,7E
70405027,17806363,38174,first class,9C
32703687,87828376,10879,economy,27D
78748155,35428330,65682,first class,6F
96648873,07792932,65417,bussines,31B
73241007,55438767,49592,first class,17B
26946042,66740452,33927,first class,19F
95438400,28557192,35949,bussines,19B
84810707,35513850,50776,bussines,27E
14969719,44187497,84445,economy,33D
50876105,83969479,55441,economy,28E
49532822,25024297,53095,economy,2F
99472000,56801279,73850,bussines,20F
64090781,60224397,51224,bussines,18A
77568049,34363993,64334,bussines,5A
11602789,01918302,26276,economy,7C
46004201,98345871,98606,first class,12A
00537388,10822164,47858,economy,24B
57816769,34215762,28489,first class,9A
11295788,02323883,59346,economy,24C
63804186,42901791,93341,first class,10C
99946703,27568513,52690,economy,27C
45185274,42752205,25106,bussines,25E
16873716,47412549,89045,bussines,4F
20881720,73921768,56661,economy,10A
03548795,87053154,48595,first class,19F
93807250,08453543,27050,economy,7E
80621903,62442563,10595,first class,2C
97592570,93009466,43740,bussines,2C
18295202,47132596,33295,economy,17E
10453630,42555911,54306,bussines,6E
76479396,96254805,28623,first class,28C
92907490,73142136,39143,bussines,9A
25529433,97499464,70788,economy,18A
16869583,27193167,25402,economy,24D
10533030,98371024,91458,bussines,14F
75156041,28423662,40529,economy,3A
22638586,07768362,29112,economy,3A
88179302,99672289,55661,first class,17B
64633633,71259865,51659,first class,23A
24340319,16896431,81577,first class,1F
55774689,52139391,20473,bussines,8C
04887732,16351926,52690,bussines,16A
66742340,41331801,51285,first class,15D
87669079,67091933,65625,economy,3F
64730316,15846401,13511,bussines,2F
98088810,82119420,75655,first class,32E
20785112,53962017,83464,economy,10D
88439731,58321915,26310,bussines,11F
95295711,55963329,35888,first class,11F
61346369,06637264,85712,first class,23D
65938568,08097978,10094,first class,14D
90336872,66297329,38381,economy,26E
50459180,92195924,16938,bussines,17E
23433564,90069170,82248,bussines,7F
14895355,31885926,66266,first class,19B
45253984,95342049,30403,bussines,17A
24747327,03396501,60939,first class,27D
00802064,88703756,28756,first class,30A
80696216,07254474,47988,bussines,6E
89260524,76157858,25292,economy,23B
24692295,23575833,80287,economy,14F
85794947,62359611,91248,first class,25D
98607328,68418480,99275,first class,4C
79837339,09400065,14281,first class,5B
38033375,49543785,58155,bussines,2F
51438643,50240039,97267,bussines,3E
93186449,85920818,52375,first class,3E
98035884,57065396,78493,bussines,27B
57594253,67955801,67341,bussines,9C
75878615,62170124,20217,bussines,12A
54157544,52376191,63687,economy,8D
68083595,31813934,55898,first class,20B
29261263,06455098,77392,bussines,30F
51654269,29924588,12374,economy,23F
41249895,70155954,96932,bussines,12A
53516433,28315696,69681,economy,16E
36565956,53329914,59990,first class,32D
93387341,23280318,71684,first class,27F
05557157,40779823,81913,economy,11B
00794578,06373380,73136,economy,27A
01742508,04490369,64334,economy,17E
52224521,67073095,56834,economy,20F
93576337,07835833,26852,economy,18C
96349351,93947827,51812,first class,26A
92358764,59133454,95081,first class,19C
86609077,95732276,85969,economy,31B
43966688,88844772,40026,first class,2D
42381863,80145287,42927,first class,1B
97446259,92140879,39654,first class,31E
97954916,33057729,33295,first class,21F
09720296,12908574,37127,economy,30A
86749731,86042397,96948,bussines,30B
27335583,38607626,10724,first class,27E
98126227,36093260,77460,bussines,18E
44710141,03679548,89757,first class,25E
45491502,62404385,85729,bussines,19F
00512271,59006255,44399,bussines,21D
43527427,78167966,63647,first class,14E
13306711,17625495,90508,bussines,28B
32778715,75345183,18942,bussines,26B
65813852,63607570,14088,economy,31C
88003863,05936445,95627,bussines,16F
94455400,14789084,18985,economy,12A
50891596,57557027,36405,bussines,23E
78910472,85748366,70776,bussines,23B
62434738,68827620,53967,economy,30F
30248357,27234397,21609,bussines,5B
87184192,52966982,44798,economy,5E
59500736,94588489,39675,first class,7E
90271348,42525365,10245,economy,32B
07949002,81754238,69813,first class,20C
62049801,34008485,34990,economy,10E
60781711,53977215,50710,first class,12C
19679782,32877527,89078,first class,20D
22300423,38529024,25043,first class,25B
72139087,62081435,41972,economy,26E
57507562,14811975,85649,economy,28C
80056145,17919062,98073,economy,12C
81796634,39858780,49293,bussines,31C
96260677,08119867,84754,economy,17C
77220088,55647934,43902,bussines,15F
00131848,27615072,10595,economy,20B
65897921,74780850,27329,first class,29B
58166967,51777958,46968,first class,7D
29151097,68229035,99195,bussines,17E
85962812,20897013,62763,first class,12B
07393273,95646613,10879,bussines,7B
24430175,49812313,45227,economy,8D
66986039,17968554,66665,economy,19F
88518762,58856665,41906,economy,31B
31242428,76243363,50950,economy,5B
24852698,96383215,27609,economy,20F
35241038,46991273,43206,economy,19E
47002220,15903199,87077,first class,8B
71408328,62363521,34782,first class,33C
27271679,54921946,81945,economy,13E
54960494,47747231,27053,bussines,32A
41225069,53702949,48895,economy,2D
38159367,44399764,47994,economy,24E
38772607,81981305,48767,first class,30A
68649355,19915641,17994,bussines,6B
49370553,81382640,52769,bussines,22C
15982131,64317845,27489,economy,11C
64550404,27042023,41828,bussines,4C
28156565,71618273,66912,first class,23B
07895453,35503890,81344,economy,8D
25402509,84177593,66512,first class,13F
32992619,12503647,14009,economy,29A
15936304,31947790,79830,economy,20D
98142072,71786375,58406,economy,4C
92061971,62046624,52186,bussines,31D
66783972,44973644,78371,economy,3A
71623738,09151873,47418,bussines,4F
62393512,75091747,18216,economy,24D
93974690,47709434,68617,bussines,31E
66481058,15477853,57589,bussines,12B
51614670,12718581,80401,first class,29D
19510073,18041146,29426,bussines,13F
27870104,43430622,49533,first class,21A
06010272,77888325,91606,first class,12E
95527773,27135028,36405,first class,26D
95779004,48546075,71744,first class,30E
64528718,50093396,20084,bussines,23D
67180792,51343360,19966,bussines,33A
52519746,85068513,19965,bussines,17B
76326542,42279787,92846,economy,8B
72488763,01343359,60626,economy,25C
68588814,30385094,57656,first class,28E
42065377,58444760,30844,first class,19E
68215776,56164950,99314,first class,14D
33101471,76421085,43829,first class,12D
64288816,97999482,28321,bussines,32D
22591452,23893116,21996,first class,13F
57387813,23313781,69328,bussines,15D
94792534,17189101,23814,first class,19B
31183332,53656669,36849,first class,18E
60866821,64680450,52392,bussines,32A
56975277,07351533,11623,first class,27F
40454836,99294181,27249,first class,6E
51039558,00649061,81167,first class,12E
86032961,71283398,20916,economy,22A
18106327,81626761,80349,bussines,32B
54726162,51842533,63686,bussines,1F
77386592,93867133,93279,first class,6B
24751606,57125469,96664,first class,9E
72755499,13126303,29661,economy,5B
35052096,85742209,94612,bussines,22D
99360028,90337160,68279,economy,27B
38262032,57384165,40685,first class,25B
32835545,42787530,95641,bussines,5A
16167997,36195758,25780,first class,24C
99728183,85931666,80720,bussines,9E
19010724,44630271,57211,first class,15C
04994752,95502487,22685,economy,21B
19876599,89517391,17144,first class,18F
92180300,01551217,54691,economy,3A
75982782,23028828,93649,economy,24E
82148792,25478341,80535,economy,15F
26664323,60949565,37445,economy,7B
47870297,59252785,18193,first class,26C
30296178,37425971,96830,bussines,20C
64205977,08028428,24240,bussines,31B
32425302,79619385,15146,economy,18F
07999302,69300995,72236,first class,11D
10898836,49285461,84489,bussines,6A
22259068,07406777,15286,bussines,7E
47800476,25563441,25684,economy,11B
06704175,29942571,26563,first class,30D
47146116,02834998,57170,first class,31F
68781010,77043768,32922,bussines,12D
72132984,60445448,13340,bussines,11D
68984556,89695497,44781,bussines,3C
65652769,22715424,47223,first class,22B
17410516,07268548,55107,bussines,15A
23103024,92637600,53998,first class,18A
89439547,27789540,22612,first class,19C
72635026,22370611,94492,economy,33F
88583635,32836043,14852,first class,12C
65210730,61064835,34320,economy,20F
35890573,63049418,26372,bussines,30D
19973330,24780120,25672,first class,16A
14429592,70929490,85969,bussines,16F
69661673,62474670,30720,first class,8F
65152962,15282718,14593,first class,22E
73634273,50994138,92215,bussines,7C
47700434,35840571,63096,bussines,5D
83486080,01402786,86435,bussines,9B
83609451,22234431,69814,economy,26F
82660037,66353781,50292,economy,17E
19558664,95214282,81696,first class,14F
60562579,58757133,64160,economy,7C
04984379,72596615,12915,bussines,18F
67038017,24800553,90316,bussines,14C
53328622,93609083,50346,first class,15D
05806503,23422454,47994,bussines,16A
45542324,17212387,27050,first class,10C
78521695,03178455,90572,bussines,1D
45229102,99822503,61748,bussines,12A
27242612,68753761,54239,economy,22C
05780600,80725785,18216,economy,26B
26702494,98183086,86384,bussines,12B
14218538,92024951,88564,economy,1B
95852554,25678701,45681,economy,6E
99386254,04549003,92376,economy,24F
27854778,66721899,49933,economy,21A
50814963,52153890,67261,economy,15E
48718055,40969216,14542,economy,30E
69861431,49986480,31593,bussines,4E
21424746,87062527,23179,economy,15A
87316276,97735027,16991,bussines,10C
54561968,37262256,46736,first class,29F
24033848,01770593,24887,first class,13E
77726702,33413281,92646,economy,8C
82243908,63099477,36084,economy,7F
11620592,21921295,26589,bussines,20D
31120331,63697105,45761,bussines,19D
22772876,90980763,56194,first class,9E
76479329,94141622,89345,first class,27D
93022097,43672131,99832,economy,20D
37212742,41401592,83464,bussines,21B
52743354,43059070,47422,first class,29E
17141669,74159888,63361,bussines,27B
21743805,95454290,67873,bussines,16A
71150737,08493380,86384,first class,22C
31217196,55865194,63094,bussines,30A
15300374,22010696,90180,economy,10F
94867751,84907405,80938,first class,29E
66844988,95653049,95733,economy,2F
08257675,67069109,95274,bussines,22A
65897376,40031848,32435,bussines,15F
51390604,99720415,31184,first class,30A
16554089,51682785,43397,bussines,12F
30510364,44410253,36000,economy,14E
51191331,88681223,32922,first class,18D
59158793,71428421,79379,first class,13C
96544932,45392018,10501,bussines,16E
13248656,08754580,32239,economy,17A
47692531,64703105,98487,economy,8C
41248005,25315379,63444,economy,22D
45386249,21239055,96162,first class,24D
72134488,98722929,47652,economy,11A
06074273,43542625,22186,bussines,19D
75087954,50060467,88412,first class,5D
23839778,88732586,40698,economy,2B
82301982,91707610,44824,first class,1F
97577546,51183750,38323,first class,8B
48783065,66718113,41828,bussines,11F
68090915,43788667,40155,bussines,19A
17447566,36480950,88556,bussines,4B
53594399,20340250,78363,first class,12F
42757736,37468306,49131,economy,28E
43148199,86233508,62862,economy,22E
32474339,56133575,20584,bussines,24D
81882040,58772615,40367,bussines,22D
26752873,75922715,28814,bussines,4B
52047644,29162866,72905,economy,9A
39847997,75050979,18516,first class,14E
56004120,09615203,35080,bussines,26F
74008331,58895625,73312,first class,22B
03505275,23673357,47466,bussines,5A
34592729,48062427,22441,bussines,29B
32747149,81953641,20907,bussines,12A
49531466,02106904,96830,bussines,21D
45107499,98105526,95066,bussines,13E
37513992,83918366,66424,first class,3F
07285728,85583691,93091,economy,29E
34413865,13646553,54962,first class,10F
69782882,59701537,17282,bussines,29B
80811555,85792698,20907,economy,11E
11978791,09184211,91888,first class,4E
35985963,15438756,49592,economy,9F
57912312,62167182,34088,bussines,10C
70293769,52244417,15221,economy,15D
36838536,35137127,32172,first class,2A
03070733,78304164,51482,bussines,15C
66792599,03401755,65762,economy,25E
93437232,34618221,72659,bussines,13E
17298654,65149357,74962,bussines,21C
01857747,79855155,64429,economy,10A
72882834,71435320,58042,bussines,30F
33124531,99464502,36453,first class,2F
49223521,39725345,47210,economy,22F
29662589,99591266,70067,economy,5B
33405144,81529287,36843,first class,16D
28695719,41291706,50484,economy,15F
03813929,76983603,16991,bussines,11F
64218479,38463658,35888,first class,17E
28928571,91713074,57828,economy,25D
60950800,15041450,27112,first class,22B
73186912,64569984,54085,economy,16E
54845552,26198517,78650,first class,17E
95239808,76525796,48595,economy,5C
38196462,33755506,53872,economy,32B
46908340,51446455,27053,first class,29B
75013374,47666872,72566,economy,12F
45401925,82250214,16688,economy,2E
54967846,01625586,45687,first class,23B
68277685,64132240,73312,economy,31A
12749252,95826389,52459,bussines,13D
22203732,88413777,91214,first class,22C
98679365,45550437,76560,bussines,17A
96555838,15158934,94498,first class,29B
01015509,56709990,51285,economy,26D
32276702,61101395,37494,first class,25C
58519426,98462444,41248,bussines,2B
92460052,16505363,46041,first class,19F
86623948,39891195,37927,economy,14D
89922487,34236521,33900,bussines,27A
04591451,48714324,18287,bussines,6B
47401416,49379560,60805,bussines,21D
08589467,67984887,63046,bussines,3A
23082363,03646292,43437,first class,5F
74169514,34478582,55984,bussines,9E
70493671,06690175,52014,economy,22E
58503873,78916267,97002,bussines,29F
23769346,01796798,86369,bussines,22E
34236909,39115699,25213,bussines,20F
09445369,61125868,96824,first class,9B
27952546,62554496,66757,first class,2E
05969874,06754367,82202,bussines,4E
10954225,82027594,48895,bussines,33C
86752245,40810399,91947,bussines,5E
65575965,25104452,97160,economy,27A
39152424,61549161,81861,bussines,26F
40894047,08977484,17762,economy,15A
11831041,54456414,78042,bussines,16F
